        Vehicle ID:	p1B3CC4FB0AN22533
    Current Status:	s

        Vehicle ID:	p1FMPU18L01LB7884
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2013/1/25
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMPU18L0WLB8049
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2010/1/18
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMPU18L0XLC4531
        Make/Model:	Ford  Mustang
   Last Inspection:	2012/1/11
    Current Status:	a

        Vehicle ID:	c1FMPU18L1XLA4306
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2017/4/13
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1FMPU18L32LA2461
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/5/26
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMPU18L42LA9020
        Make/Model:	Dodge Journey
   Last Inspection:	2014/5/15
    Current Status:	a

        Vehicle ID:	c1FMPU18L5WLA2253
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2009/7/2
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	p1FMPU18L5WLB3387
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2015/6/6
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMPU18L5XLA4431
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2011/10/5
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1FMPU18L5YLA6913
        Make/Model:	Ford  Mustang
   Last Inspection:	2017/6/21
    Current Status:	s

        Vehicle ID:	c1FMPU18L6XLC5169
        Make/Model:	Ford  F 250
   Last Inspection:	2007/12/24
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	p1FMPU18L72LA7043
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2009/12/11
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1FMPU18LXYLB1329
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2016/5/4
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1FMPU18LXYLB4687
        Make/Model:	Dodge Demon
   Last Inspection:	2012/8/5
    Current Status:	s

        Vehicle ID:	i1FMRE11LX6DA2741
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2006/5/20
    Current Status:	s

        Vehicle ID:	i1FMRU13W94LB7255
        Make/Model:	Ford  Mustang
   Last Inspection:	2013/10/12
    Current Status:	m

        Vehicle ID:	c1FMRU15L8YLB5142
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2010/2/11
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	c1FMRU15W43LA5144
        Make/Model:	Ford  F 250
   Last Inspection:	2008/4/7
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p1FMRU15W64LA0202
        Make/Model:	International IC-RE
   Last Inspection:	2015/3/9
    Current Status:	a
   Max. Passengers:	84

        Vehicle ID:	c1FMRU15W74LB3178
        Make/Model:	Ford  F 250
   Last Inspection:	2017/4/21
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1FMRU1660YLB6067
        Make/Model:	Dodge Charger
   Last Inspection:	2015/4/18
    Current Status:	s

        Vehicle ID:	p1FMRU166XYLA5786
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2011/2/2
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMRU16W51LA3863
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2016/10/27
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1FMRU16W91LA0096
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2007/11/4
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	c1FMRU16W91LA0096
        Make/Model:	Ford  F 250
   Last Inspection:	2007/4/8
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1FMRU1761XLA1289
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/12/15
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1FMRU17W43LB3170
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2008/9/8
    Current Status:	a
      Max. Payload:	3.82 tons

        Vehicle ID:	i1FMRU1860XLC2909
        Make/Model:	Chevrolet Impala
   Last Inspection:	2017/4/25
    Current Status:	s

        Vehicle ID:	i1FMRU1863XLB1630
        Make/Model:	Chevrolet Impala
   Last Inspection:	2011/8/19
    Current Status:	s

        Vehicle ID:	c1FMRU1863XLB1630
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2010/4/20
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMRU1866XLB9749
        Make/Model:	Dodge Charger
   Last Inspection:	2017/2/28
    Current Status:	s

        Vehicle ID:	p1FMRU1867XLA2300
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2013/6/14
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	c1FMRU18W2WLA5791
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2016/10/26
    Current Status:	m
      Max. Payload:	2.88 tons

        Vehicle ID:	c1FMRU18W5WLC3605
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2006/12/14
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	i1FMRU18W8WLA7232
        Make/Model:	Chevrolet Impala
   Last Inspection:	2010/4/28
    Current Status:	s

        Vehicle ID:	p1FMSU41F51EC3886
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2016/10/23
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMSU41P24EC1945
        Make/Model:	Ford  F 250
   Last Inspection:	2013/4/18
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1FMSU43F02ED2231
        Make/Model:	Ford  EcoSport
   Last Inspection:	2013/1/13
    Current Status:	s

        Vehicle ID:	i1FMSU43F42EC7542
        Make/Model:	Dodge Demon
   Last Inspection:	2014/4/12
    Current Status:	s

        Vehicle ID:	p1FMSU45P13EB4405
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2015/6/17
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1FMSU45P63ED6864
        Make/Model:	GMC Thomas Minotour
   Last Inspection:	2006/11/8
    Current Status:	s
   Max. Passengers:	14

        Vehicle ID:	i1FMSU45P64EC4796
        Make/Model:	Ford  Mustang
   Last Inspection:	2007/1/19
    Current Status:	s

        Vehicle ID:	c1FMSU45P64ED7654
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2013/11/8
    Current Status:	m
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMUC9GD3HUC3181
        Make/Model:	Ford  Mustang
   Last Inspection:	2011/4/27
    Current Status:	s

        Vehicle ID:	p1FMYU01152KE0212
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2015/5/7
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMYU02123KD9179
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2011/7/16
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	c1FMYU02131KA9678
        Make/Model:	Ford  F 250
   Last Inspection:	2014/8/4
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p1FMYU02134DA0418
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2006/9/9
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMYU02152KD0220
        Make/Model:	GMC Thomas Minotour
   Last Inspection:	2011/9/16
    Current Status:	s
   Max. Passengers:	14

        Vehicle ID:	c1FMYU02152KD5107
        Make/Model:	Ford  F 250
   Last Inspection:	2015/6/16
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p1FMYU02184KA3746
        Make/Model:	GMC Thomas Minotour
   Last Inspection:	2010/4/12
    Current Status:	s
   Max. Passengers:	14

        Vehicle ID:	i1FMYU02236KA5106
        Make/Model:	Dodge Charger
   Last Inspection:	2013/9/20
    Current Status:	s

        Vehicle ID:	c1FMYU02Z06KB5960
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2016/9/24
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1FMYU02Z65KC3002
        Make/Model:	Ford  F 150
   Last Inspection:	2012/5/20
    Current Status:	m
      Max. Payload:	3.04 tons

        Vehicle ID:	c1FMYU03113KB7878
        Make/Model:	Ford  F 250
   Last Inspection:	2012/7/4
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1FMYU03114KB6578
        Make/Model:	Ford  F 250
   Last Inspection:	2015/8/8
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1FMYU03116KA4473
        Make/Model:	Dodge Journey
   Last Inspection:	2016/1/21
    Current Status:	s

        Vehicle ID:	c1FMYU03116KD1817
        Make/Model:	Ford  F 250
   Last Inspection:	2009/8/1
    Current Status:	m
      Max. Payload:	1.9 tons

        Vehicle ID:	p1FMYU03141KC6787
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2010/1/1
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	c1FMYU03156KA2465
        Make/Model:	Ford  F 150
   Last Inspection:	2013/4/15
    Current Status:	m
      Max. Payload:	3.04 tons

        Vehicle ID:	p1FMYU03163KB3497
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2014/12/2
    Current Status:	m
   Max. Passengers:	15

        Vehicle ID:	c1FMYU03174KB8801
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/3/15
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1FMYU03186KA2404
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2009/3/9
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMYU03192KD9597
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2017/11/16
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1FMYU03Z46KA4185
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2007/1/5
    Current Status:	m
   Max. Passengers:	7

        Vehicle ID:	p1FMYU03Z47KA2515
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2008/7/25
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1FMYU04112KA2908
        Make/Model:	Chevrolet Cargo Express
   Last Inspection:	2013/5/11
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	p1FMYU04112KE0887
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2017/10/9
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMYU04132KD4955
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2010/1/15
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1FMYU04162KC4139
        Make/Model:	Ford  EcoSport
   Last Inspection:	2007/9/23
    Current Status:	s

        Vehicle ID:	i1FMYU04162KC4139
        Make/Model:	Ford  Focus
   Last Inspection:	2016/8/4
    Current Status:	m

        Vehicle ID:	i1FMYU04172KB0020
        Make/Model:	Dodge Charger
   Last Inspection:	2006/8/10
    Current Status:	s

        Vehicle ID:	c1FMYU04172KB8549
        Make/Model:	Ford  F 250
   Last Inspection:	2009/6/11
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	p1FMYU22E0WUC3173
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2013/4/25
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMYU24E6WUC0741
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2009/6/3
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMYU59H47KA4414
        Make/Model:	Chevrolet Impala
   Last Inspection:	2010/2/24
    Current Status:	a

        Vehicle ID:	p1FMYU60E12UD0511
        Make/Model:	Temsa TS45
   Last Inspection:	2006/10/2
    Current Status:	m
   Max. Passengers:	56

        Vehicle ID:	c1FMYU60E23UB8802
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2012/10/12
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	i1FMYU60E32UB3737
        Make/Model:	Chevrolet Impala
   Last Inspection:	2007/7/27
    Current Status:	s

        Vehicle ID:	c1FMYU70E41UC0964
        Make/Model:	Dodge Ram 3500
   Last Inspection:	2010/2/19
    Current Status:	a
      Max. Payload:	2.04 tons

        Vehicle ID:	p1FMYU70E41UC1883
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2007/11/5
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1FMYU70EX1UA8338
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2012/6/6
    Current Status:	s

        Vehicle ID:	c1FMYU7OE61UCO115
        Make/Model:	Chevrolet Cargo Express
   Last Inspection:	2017/9/9
    Current Status:	a
      Max. Payload:	2.33 tons

        Vehicle ID:	i1FMYU92123KD9554
        Make/Model:	Ford  Explorer
   Last Inspection:	2012/11/8
    Current Status:	s

        Vehicle ID:	i1FMYU92174KB5077
        Make/Model:	Ford  Mustang
   Last Inspection:	2016/3/27
    Current Status:	s

        Vehicle ID:	i1FMYU921X3KB3237
        Make/Model:	Ford  Mustang
   Last Inspection:	2009/3/2
    Current Status:	s

        Vehicle ID:	c1FMYU92Z55KB2531
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/11/23
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMYU92Z56KC3561
        Make/Model:	Chevrolet Impala
   Last Inspection:	2014/10/3
    Current Status:	m

        Vehicle ID:	p1FMYU92Z76KA0426
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2008/8/23
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMYU92Z86KD5477
        Make/Model:	Ford  F 150
   Last Inspection:	2009/2/1
    Current Status:	s
      Max. Payload:	3.04 tons

        Vehicle ID:	p1FMYU93106KA0703
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2009/7/7
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1FMYU93106KA1113
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2008/6/7
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1FMYU93123KB2184
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2007/2/2
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1FMYU93135KB2768
        Make/Model:	Ford  F 250
   Last Inspection:	2006/5/27
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1FMYU93137KA8373
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2007/6/18
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	c1FMYU93137KA9362
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2007/5/17
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	c1FMYU93145KE3979
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2012/5/12
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1FMYU93146KD2507
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2014/7/5
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	i1FMYU93146KD5376
        Make/Model:	Dodge Charger
   Last Inspection:	2008/7/3
    Current Status:	s

        Vehicle ID:	c1FMYU93155KC1210
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2011/10/24
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMYU93165DA0982
        Make/Model:	Dodge Charger
   Last Inspection:	2011/9/28
    Current Status:	s

        Vehicle ID:	i1FMYU93166KD0471
        Make/Model:	Chevrolet Impala
   Last Inspection:	2008/12/2
    Current Status:	s

        Vehicle ID:	p1FMYU93175KE2291
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2010/3/8
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1FMYU93177KA0256
        Make/Model:	Ford  EcoSport
   Last Inspection:	2015/9/28
    Current Status:	s

        Vehicle ID:	i1FMYU93185KA7300
        Make/Model:	Ford  Mustang
   Last Inspection:	2010/4/11
    Current Status:	s

        Vehicle ID:	p1FMYU93187KB3536
        Make/Model:	Temsa TS45
   Last Inspection:	2011/10/18
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	c1FMYU93195KB1409
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2014/7/25
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	i1FMYU931X3KE2153
        Make/Model:	Dodge Demon
   Last Inspection:	2017/7/8
    Current Status:	s

        Vehicle ID:	c1FMYU931X6KA9907
        Make/Model:	Ford  F 250
   Last Inspection:	2014/7/17
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1FMYU93Z16KA3702
        Make/Model:	Ford  EcoSport
   Last Inspection:	2008/8/21
    Current Status:	s

        Vehicle ID:	c1FMYU94116KA1671
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2008/12/9
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMYU94185KA4154
        Make/Model:	Ford  Mustang
   Last Inspection:	2006/12/3
    Current Status:	s

        Vehicle ID:	p1FMZ0U73B0YZA489
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2015/5/11
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1FMZK01135GA5425
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2013/6/25
    Current Status:	m
   Max. Passengers:	7

        Vehicle ID:	i1FMZK02177GA0026
        Make/Model:	Ford  Focus
   Last Inspection:	2012/2/1
    Current Status:	s

        Vehicle ID:	i1FMZK021X5GA7726
        Make/Model:	Ford  Mustang
   Last Inspection:	2016/5/5
    Current Status:	s

        Vehicle ID:	i1FMZK03106GA1138
        Make/Model:	Dodge Demon
   Last Inspection:	2017/3/19
    Current Status:	m

        Vehicle ID:	c1FMZK04105GA5798
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2008/9/8
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMZK04156GA1877
        Make/Model:	Dodge Demon
   Last Inspection:	2017/5/19
    Current Status:	s

        Vehicle ID:	p1FMZK05165GA2844
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2012/7/7
    Current Status:	m
   Max. Passengers:	7

        Vehicle ID:	c1FMZK051X5GA5219
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2007/10/6
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p1FMZK06135GA1194
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2013/9/1
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1FMZK06165GA0116
        Make/Model:	Ford  Mustang
   Last Inspection:	2011/2/27
    Current Status:	s

        Vehicle ID:	c1FMZK1CG5FKA8083
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2015/4/21
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1FMZK1YM2GKA3765
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2012/1/27
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	i1FMZK1ZMXHKB0160
        Make/Model:	Chevrolet Impala
   Last Inspection:	2008/4/15
    Current Status:	a

        Vehicle ID:	c1FMZU24E3XUA7481
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2017/1/27
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	c1FMZU24E3XUB5717
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2008/9/20
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p1FMZU24E8XUB4648
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2011/12/14
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1FMZU32E0WZB2622
        Make/Model:	Chevrolet Impala
   Last Inspection:	2008/4/24
